birth_year,current_age,gender,plan,payout_start_age,ra_balance,age1,payout1,age2,payout2,age3,payout3
1971,55,M,Standard,65,500000,65,3870,85,3870,95,3870
1971,55,M,Standard,66,500000,66,4100,85,4100,95,4100
1971,55,M,Standard,67,500000,67,4330,85,4330,95,4330
1971,55,M,Standard,68,500000,68,4600,85,4600,95,4600
1971,55,M,Standard,69,500000,69,4850,85,4850,95,4850
1971,55,M,Standard,70,500000,70,5170,85,5170,95,5170
1965,61,M,Standard,65,500000,65,3060,85,3060,95,3060
1965,61,M,Standard,66,500000,66,3250,85,3250,95,3250
1965,61,M,Standard,67,500000,67,3440,85,3440,95,3440
1965,61,M,Standard,68,500000,68,3640,85,3640,95,3640
