birth_year,current_age,gender,plan,payout_start_age,ra_balance,age1,payout1,age2,payout2,age3,payout3
1971,55,M,Escalating,65,500000,65,3050,85,4540,95,5530
1971,55,M,Standard,65,500000,65,3870,85,3870,95,3870
1971,55,M,Basic,65,500000,65,3540,85,3540,95,3470
1971,55,F,Escalating,65,500000,65,2780,85,4140,95,5040
1971,55,F,Standard,65,500000,65,3610,85,3610,95,3610
1971,55,F,Basic,65,500000,65,3420,85,3420,95,3420
1965,61,M,Escalating,65,500000,65,2420,85,3600,95,4390
1965,61,M,Standard,65,500000,65,3060,85,3060,95,3060
1965,61,M,Basic,65,500000,65,2790,85,2790,95,2720
1965,61,F,Escalating,65,500000,65,2200,85,3270,95,3990
1965,61,F,Standard,65,500000,65,2850,85,2850,95,2850
1965,61,F,Basic,65,500000,65,2700,85,2700,95,2700
1955,71,M,Escalating,71,500000,71,2470,85,3260,95,3970
1955,71,M,Standard,71,500000,71,3020,85,3020,95,3020
1955,71,M,Basic,71,500000,71,2740,85,2740,95,2670
1955,71,F,Escalating,71,500000,71,2220,85,2940,95,3580
1955,71,F,Standard,71,500000,71,2780,85,2780,95,2780
1955,71,F,Basic,71,500000,71,2610,85,2610,95,2610
1950,76,M,Escalating,76,500000,76,2850,85,3410,95,4160
1950,76,M,Standard,76,500000,76,3390,85,3390,95,3390
1950,76,M,Basic,76,500000,76,3100,85,3100,95,3070
1950,76,F,Escalating,76,500000,76,2550,85,3050,95,3720
1950,76,F,Standard,76,500000,76,3090,85,3090,95,3090
1950,76,F,Basic,76,500000,76,2910,85,2910,95,2910
