birth_year,gender,plan,payout_start_age,ra_balance,payout
1961,M,Standard,65,100000,590
1961,M,Standard,65,1000000,5290
1961,M,Basic,65,100000,540
1961,M,Basic,65,1000000,4820
1961,M,Escalating,65,100000,470
1961,M,Escalating,65,1000000,4180
1961,F,Standard,65,100000,550
1961,F,Standard,65,1000000,4920
1961,F,Basic,65,100000,520
1961,F,Basic,65,1000000,4650
1961,F,Escalating,65,100000,430
1961,F,Escalating,65,1000000,3800
1965,M,Standard,65,100000,670
1965,M,Standard,65,1000000,6050
1965,M,Basic,65,100000,610
1965,M,Basic,65,1000000,5520
1965,M,Escalating,65,100000,530
1965,M,Escalating,65,1000000,4780
1965,F,Standard,65,100000,620
1965,F,Standard,65,1000000,5630
1965,F,Basic,65,100000,590
1965,F,Basic,65,1000000,5330
1965,F,Escalating,65,100000,480
1965,F,Escalating,65,1000000,4350
1970,M,Standard,65,100000,820
1970,M,Standard,65,1000000,7340
1970,M,Basic,65,100000,750
1970,M,Basic,65,1000000,6720
1970,M,Escalating,65,100000,650
1970,M,Escalating,65,1000000,5790
1970,F,Standard,65,100000,770
1970,F,Standard,65,1000000,6840
1970,F,Basic,65,100000,730
1970,F,Basic,65,1000000,6480
1970,F,Escalating,65,100000,590
1970,F,Escalating,65,1000000,5270
1971,M,Standard,65,100000,870
1971,M,Standard,65,1000000,7620
1971,M,Basic,65,100000,800
1971,M,Basic,65,1000000,6970
1971,M,Escalating,65,100000,690
1971,M,Escalating,65,1000000,6010
1971,F,Standard,65,100000,820
1971,F,Standard,65,1000000,7100
1971,F,Basic,65,100000,770
1971,F,Basic,65,1000000,6730
1971,F,Escalating,65,100000,630
1971,F,Escalating,65,1000000,5470
